sessionId,appId,gameName,sessionStart,sessionEnd,videoId,unlockEpoch,achievementApiName,displayName,rarity,zCubes
b75a7411753a,2425130,Hacked: The Streamer,2026-04-12T02:00:19.464Z,2026-04-12T02:22:25.256Z,,2026-04-12T02:20:06.000Z,achv_5,Hunter of Anomalies,76.4,24
120c018fd842,2425130,Hacked: The Streamer,2026-04-12T02:22:34.415Z,2026-04-12T03:50:08.254Z,,2026-04-12T02:47:34.000Z,achv_13,Ömer's Chain of Suspicion,67.7,32
120c018fd842,2425130,Hacked: The Streamer,2026-04-12T02:22:34.415Z,2026-04-12T03:50:08.254Z,,2026-04-12T03:04:57.000Z,achv_14,Semih's Chain of Suspicion,21.9,78
120c018fd842,2425130,Hacked: The Streamer,2026-04-12T02:22:34.415Z,2026-04-12T03:50:08.254Z,,2026-04-12T03:05:12.000Z,achv_12,Deniz's Chain of Suspicion,66.9,33
120c018fd842,2425130,Hacked: The Streamer,2026-04-12T02:22:34.415Z,2026-04-12T03:50:08.254Z,,2026-04-12T03:18:40.000Z,achv_7,No Panic,49.7,50
120c018fd842,2425130,Hacked: The Streamer,2026-04-12T02:22:34.415Z,2026-04-12T03:50:08.254Z,,2026-04-12T03:19:12.000Z,achv_11,Bilge's Chain of Suspicion,53.5,47
7502776f479c,2425130,Hacked: The Streamer,2026-04-12T03:52:35.712Z,2026-04-12T04:10:24.766Z,,2026-04-12T04:06:46.000Z,achv_15,Justice Served,48.9,51
29d844dd64dc,268910,Cuphead,2026-04-12T16:17:40.673Z,2026-04-12T17:03:12.772Z,GVbBKrwotBo,2026-04-12T16:20:55.000Z,DefeatXBossesAsChalice,Decadent,6.5,94
1cd4873af61b,268910,Cuphead,2026-04-12T17:52:18.529Z,2026-04-12T19:42:23.544Z,5RhXlDIblX8,2026-04-12T19:29:26.000Z,ExWin,Ceramic Strike,41,59
5474e21eff33,2955630,Catjinni Survivors,2026-04-14T03:43:53.600Z,2026-04-14T18:44:55.420Z,A-PAP7xkAtc,2026-04-14T03:52:55.000Z,ACH_Cactus,Botanic,76.5,24
5474e21eff33,2955630,Catjinni Survivors,2026-04-14T03:43:53.600Z,2026-04-14T18:44:55.420Z,A-PAP7xkAtc,2026-04-14T04:05:55.000Z,ACH_Franics_Survive10,Warmup,61.4,39
621b547e78e7,1231990,Gestalt: Steam & Cinder,2026-04-15T01:42:16.526Z,2026-04-15T02:53:22.361Z,ocgH0EqZlxI,2026-04-15T02:02:58.000Z,Completion_First_Tether,Shocked into the Unknown,92.7,7
621b547e78e7,1231990,Gestalt: Steam & Cinder,2026-04-15T01:42:16.526Z,2026-04-15T02:53:22.361Z,ocgH0EqZlxI,2026-04-15T02:17:50.000Z,Upgrade_Tesla_Bullets,Amped Ammunition,85.2,15
621b547e78e7,1231990,Gestalt: Steam & Cinder,2026-04-15T01:42:16.526Z,2026-04-15T02:53:22.361Z,ocgH0EqZlxI,2026-04-15T02:36:29.000Z,Completion_First_Accessory,Gadgets and Trinkets,82.1,18
cc9fe0e6d10d,1796470,Haste,2026-04-07T04:00:06.646Z,2026-04-15T05:41:33.077Z,UDwdEvdeyHs,2026-04-15T05:27:26.000Z,ACH_16,Bare Bones,9.8,90
cc9fe0e6d10d,1796470,Haste,2026-04-07T04:00:06.646Z,2026-04-15T05:41:33.077Z,UDwdEvdeyHs,2026-04-15T05:41:09.000Z,ACH_15,S Star,18.7,81
15793869df74,2906070,Blood Reaver,2026-04-15T23:30:35.294Z,2026-04-15T23:46:53.355Z,VaH3X4NEBs4,2026-04-15T23:36:59.000Z,5 Rounds,Initiate,87.3,13
15793869df74,2906070,Blood Reaver,2026-04-15T23:30:35.294Z,2026-04-15T23:46:53.355Z,VaH3X4NEBs4,2026-04-15T23:44:21.000Z,Kills 100,Killer,81.4,19
fae4aae65fe5,668580,Atomic Heart,2026-04-03T14:41:57.791Z,2026-04-16T03:20:33.893Z,hLE_7Sr0B8Y,2026-04-16T02:55:46.000Z,killEziha,Make It Go Round,44.6,55
